Date,Open,High,Low,Close,Adj Close,Volume
28/08/2020,79.07,79.650002,78.800003,79.389999,79.389999,1010000
31/08/2020,78.650002,78.980003,78.440002,78.639999,78.639999,777200
01/09/2020,79.230003,80.110001,78.75,79.5,79.5,1061900
02/09/2020,79.589996,80,78.800003,79.489998,79.489998,888900
03/09/2020,78.849998,78.959999,76.709999,77.379997,77.379997,1069300
04/09/2020,77.779999,78.470001,75.599998,77.660004,77.660004,1241500
08/09/2020,76.709999,76.860001,75.870003,76.010002,76.010002,1262300
09/09/2020,76.860001,77.949997,76.550003,77.480003,77.480003,888300
10/09/2020,77.769997,77.940002,76.400002,76.5,76.5,979700
11/09/2020,77.18,77.389999,76.239998,77.019997,77.019997,826100
14/09/2020,77.330002,78.260002,77.269997,77.720001,77.720001,676200
15/09/2020,76.870003,77.300003,76.230003,76.459999,76.459999,1383600
16/09/2020,77.879997,78,76.889999,76.989998,76.989998,1789200
17/09/2020,77.160004,78.290001,76.720001,77.610001,77.610001,1461500
18/09/2020,80.080002,80.169998,78.330002,78.959999,78.959999,1212000
21/09/2020,77.75,78.349998,77,78.269997,78.269997,762500
22/09/2020,79.07,79.080002,77.82,78.699997,78.699997,730800
23/09/2020,78.5,78.540001,76.989998,77.330002,77.330002,873100
24/09/2020,76.970001,78.480003,76.809998,77.779999,77.779999,834700
25/09/2020,76.940002,77.389999,76.389999,77.260002,77.260002,617700
28/09/2020,78.099998,78.099998,76.959999,77.279999,77.279999,790200
29/09/2020,77.43,77.82,77.080002,77.480003,77.480003,449100
30/09/2020,76.75,77.440002,76.279999,76.75,76.75,706700
01/10/2020,76.910004,76.919998,76.150002,76.449997,76.449997,719700
02/10/2020,74,74.949997,73.620003,74,74,1392000
05/10/2020,74.849998,75.220001,74.550003,75.07,75.07,846200
06/10/2020,74.339996,74.410004,73.43,73.540001,73.540001,850800
07/10/2020,73.980003,73.980003,73.099998,73.370003,73.370003,1238400
08/10/2020,73.75,74.300003,73.529999,74.129997,74.129997,744900
09/10/2020,74.349998,74.839996,73.93,74.550003,74.550003,755700
12/10/2020,74.07,74.879997,74.059998,74.589996,74.589996,770900
13/10/2020,74.790001,75.18,74.260002,74.690002,74.690002,907000
14/10/2020,74.610001,74.900002,74.269997,74.410004,74.410004,942800
15/10/2020,73.599998,73.599998,72.580002,73.269997,73.269997,1129100
16/10/2020,72.760002,73.040001,72.449997,72.669998,72.669998,1062600
19/10/2020,73.699997,73.860001,72.809998,72.93,72.93,822200
20/10/2020,74.629997,75.870003,74.580002,75.57,75.57,1215800
21/10/2020,75.330002,75.43,74.400002,74.639999,74.639999,873200
22/10/2020,74.879997,74.970001,74.209999,74.599998,74.599998,661900
23/10/2020,75.190002,75.57,74.510002,75.43,75.43,751200
26/10/2020,75.75,76.43,75.550003,76.199997,76.199997,842500
27/10/2020,77.300003,78.290001,76.949997,77.470001,77.470001,1467300
28/10/2020,81.900002,81.949997,79.110001,81.599998,81.599998,2727400
29/10/2020,83.760002,83.879997,82.559998,83.43,83.43,1845100
30/10/2020,83.25,84.050003,82.580002,83.660004,83.660004,1479300
02/11/2020,84.120003,85.919998,84.040001,85.5,85.5,2077700
03/11/2020,86,87.25,86,86.410004,86.410004,1059400
04/11/2020,85.379997,87.269997,85.169998,86.410004,86.410004,1039200
05/11/2020,88.75,90.879997,88.720001,90.389999,90.389999,1823300
06/11/2020,89.099998,90.169998,88.660004,89.389999,89.389999,1394500
09/11/2020,90,90,86.599998,86.610001,86.610001,1884900
10/11/2020,86.050003,86.440002,85.279999,85.910004,85.910004,1300100
11/11/2020,86.480003,88.690002,86.260002,88.089996,88.089996,1347400
12/11/2020,87.470001,88.139999,86.860001,87.110001,87.110001,1209000
13/11/2020,88.970001,90.050003,88.540001,89.720001,89.720001,1094900
16/11/2020,90.690002,91.099998,90.050003,90.449997,90.449997,1151100
17/11/2020,90.239998,90.699997,89.519997,89.709999,89.709999,1751500
18/11/2020,88.860001,89.690002,88.239998,88.25,88.25,746400
19/11/2020,88.870003,88.989998,88.440002,88.849998,88.849998,899900
20/11/2020,88.910004,90.269997,88.860001,89.980003,89.980003,623900
23/11/2020,90.099998,90.809998,89.470001,89.790001,89.790001,742800
24/11/2020,91.050003,91.550003,90.029999,90.800003,90.800003,1208900
25/11/2020,93.400002,93.5,91.910004,93.230003,93.230003,1649700
27/11/2020,93.980003,94.5,93.82,94.07,94.07,666900
30/11/2020,93.650002,94,92.620003,93.290001,93.290001,969700
01/12/2020,94.139999,94.82,93.959999,94.68,94.68,1240200
02/12/2020,92.389999,93.349998,92.160004,92.620003,92.620003,1188400
03/12/2020,93.800003,94.300003,93.580002,93.830002,93.830002,754600
04/12/2020,93.900002,94.410004,93.800003,94.400002,94.400002,570100
07/12/2020,93,93.620003,92.940002,93.360001,93.360001,901400
08/12/2020,93.400002,93.800003,93.150002,93.370003,93.370003,717900
09/12/2020,94.589996,94.629997,93.25,94.129997,94.129997,1988700
10/12/2020,93.699997,94.190002,93.330002,94.089996,94.089996,725400
11/12/2020,94.309998,94.980003,94.160004,94.68,94.68,907600
14/12/2020,94.959999,95.050003,93.339996,93.370003,93.370003,855700
15/12/2020,93.800003,94.639999,93.550003,94.150002,94.150002,824300
16/12/2020,94.269997,95.360001,94.050003,95.110001,95.110001,856800
17/12/2020,97.07,97.769997,96.769997,97.019997,97.019997,1199700
18/12/2020,99.099998,99.349998,98.139999,98.709999,98.709999,1289600
21/12/2020,98.889999,99.529999,97.809998,99.400002,99.400002,939000
22/12/2020,97.959999,98.309998,97.279999,97.459999,97.459999,743000
23/12/2020,98.129997,98.129997,97.239998,97.459999,97.459999,669600
24/12/2020,97.459999,97.559998,96.540001,96.839996,96.839996,301800
28/12/2020,98.190002,98.290001,97.830002,97.949997,97.949997,963600
29/12/2020,100,100.830002,99.349998,100.43,100.43,988800
30/12/2020,99.800003,100.949997,99.660004,100.779999,100.779999,616200
31/12/2020,100.93,101.400002,100.610001,101.099998,101.099998,670700
04/01/2021,101.5,101.620003,99.459999,100.07,100.07,1064000
05/01/2021,102.019997,103.519997,102,103.110001,103.110001,1118700
06/01/2021,100.459999,101.989998,100.279999,101.080002,101.080002,981500
07/01/2021,101.080002,102.089996,100.860001,102,102,760700
08/01/2021,103.290001,104,102.940002,103.989998,103.989998,1400400
11/01/2021,104.330002,105,103.330002,103.839996,103.839996,1036600
12/01/2021,104.300003,104.480003,103.279999,104.029999,104.029999,1192300
